icao24,origin_country,velocity,on_ground
4bc899,Turkey,221.73,False
4787b3,Norway,226.71,False
4bc896,Turkey,248.07,False
4bb565,Turkey,174.49,False
801717,India,52.24,False
ad438e,United States,0.19,True
4bb573,Turkey,210.62,False
c06a38,Canada,244.52,False
8518ae,Japan,246.3,False
4bc88f,Turkey,175.08,False
801726,India,67.83,False
ac1099,United States,4.74,False
c81bb3,New Zealand,141.47,False
841b28,Japan,203.2,False
4bc883,Turkey,212.81,False
ae638d,United States,213.7,False
4bc889,Turkey,237.48,False
4bc886,Turkey,209.69,False
4bb562,Turkey,209.26,False
4bc890,Turkey,217.38,False
5002bd,San Marino,263.91,False
a14ad1,United States,255.38,False
8a0394,Indonesia,87.98,False
73806e,Israel,199.27,False
452086,Bulgaria,233.54,False
80186e,India,94.3,False
801878,India,206.55,False
c058c2,Canada,255.76,False
80187d,India,188.77,False
440096,Austria,204.55,False
4068f5,United Kingdom,165.04,False
440090,Austria,237.19,False
e072d0,Argentina,242.45,False
738061,Israel,192.95,False
a3795a,United States,0.0,True
738064,Israel,242.59,False
801862,India,126.62,False
738063,Israel,188.29,False
738068,Israel,206.32,False
80184e,India,69.99,False
73805c,Israel,260.57,False
44009e,Austria,212.08,False
c058c3,Canada,91.47,False
738076,Israel,264.15,False
73806a,Israel,284.57,False
c058be,Canada,258.03,False
80057c,India,207.32,False
adb723,United States,268.75,False
440057,Austria,241.23,False
4b0f1c,Switzerland,121.27,False
8733bc,Japan,206.99,False
440065,Austria,229.04,False
440062,Austria,7.46,True
3b07ff,France,0.51,True
44004f,Austria,117.09,False
702098,Bangladesh,116.68,False
702096,Bangladesh,0.0,True
4b0f0a,Switzerland,107.16,False
738053,Israel,184.43,False
3453d3,Spain,85.41,False
440052,Austria,256.46,False
738057,Israel,234.44,False
738055,Israel,218.81,False
a2dceb,United States,233.43,False
44006e,Austria,147.67,False
44006c,Austria,71.47,False
80055e,India,32.39,False
4aa6b6,Sweden,126.66,False
4b0f49,Switzerland,150.9,False
3453c1,Spain,234.22,False
484fdf,Kingdom of the Netherlands,217.68,False
440085,Austria,33.54,False
3453c3,Spain,215.0,False
440083,Austria,207.24,False
ad675f,United States,235.88,False
440080,Austria,201.6,False
8a04e4,Indonesia,84.84,False
44005c,Austria,63.63,False
440068,Austria,36.49,False
800583,India,275.21,False
70209f,Bangladesh,167.75,False
800584,India,256.49,False
440073,Austria,226.15,False
8a04ce,Indonesia,144.41,False
800589,India,255.51,False
39dc41,France,52.93,False
800582,India,237.02,False
a84343,United States,292.67,False
440019,Austria,197.36,False
440018,Austria,243.88,False
c0467c,Canada,108.19,False
a28e10,United States,169.36,False
8a064c,Indonesia,168.74,False
874846,Japan,261.02,False
440039,Austria,212.41,False
440037,Austria,211.64,False
440036,Austria,254.03,False
8a0637,Indonesia,171.59,False
440030,Austria,3.6,True
a138b8,United States,976.47,False
44001b,Austria,102.9,False
a6f01c,United States,254.22,False
8960f1,United Arab Emirates,241.11,False
500213,San Marino,210.86,False
8840ee,Thailand,102.19,False
a78fcf,United States,215.4,False
47c1f7,Norway,154.97,False
8840f9,Thailand,231.05,False
3c4a8b,Germany,265.22,False
8004a6,India,233.74,False
344195,Spain,130.68,False
adfe9a,United States,98.62,False
a03b40,United States,2.83,True
5001d3,San Marino,255.79,False
344295,Spain,142.15,False
8016dd,India,221.13,False
89611f,United Arab Emirates,230.54,False
47c1ab,Norway,64.95,False
3d1027,Germany,101.45,False
405636,United Kingdom,179.54,False
405638,United Kingdom,173.06,False
405631,United Kingdom,193.72,False
4891b2,Poland,251.36,False
8016ae,India,133.72,False
34558c,Spain,137.6,False
4891ac,Poland,230.58,False
345595,Spain,232.6,False
3d367f,Germany,49.49,False
8016d6,India,227.91,False
345592,Spain,113.32,False
8016d4,India,221.73,False
8016bf,India,0.06,True
5001dc,San Marino,139.02,False
5001db,San Marino,207.59,False
8016ca,India,118.6,False
